"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","INDPROD","TOT","IDX2015","A","1961",22.839,
"CAN","INDPROD","TOT","IDX2015","A","1962",25.10302,
"CAN","INDPROD","TOT","IDX2015","A","1963",26.71998,
"CAN","INDPROD","TOT","IDX2015","A","1964",29.37872,
"CAN","INDPROD","TOT","IDX2015","A","1965",31.9886,
"CAN","INDPROD","TOT","IDX2015","A","1966",34.04163,
"CAN","INDPROD","TOT","IDX2015","A","1967",35.11773,
"CAN","INDPROD","TOT","IDX2015","A","1968",37.62939,
"CAN","INDPROD","TOT","IDX2015","A","1969",40.06211,
"CAN","INDPROD","TOT","IDX2015","A","1970",39.59126,
"CAN","INDPROD","TOT","IDX2015","A","1971",41.805,
"CAN","INDPROD","TOT","IDX2015","A","1972",45.48298,
"CAN","INDPROD","TOT","IDX2015","A","1973",50.67501,
"CAN","INDPROD","TOT","IDX2015","A","1974",51.41605,
"CAN","INDPROD","TOT","IDX2015","A","1975",47.62342,
"CAN","INDPROD","TOT","IDX2015","A","1976",50.72623,
"CAN","INDPROD","TOT","IDX2015","A","1977",52.51141,
"CAN","INDPROD","TOT","IDX2015","A","1978",54.7214,
"CAN","INDPROD","TOT","IDX2015","A","1979",57.38531,
"CAN","INDPROD","TOT","IDX2015","A","1980",55.58556,
"CAN","INDPROD","TOT","IDX2015","A","1981",55.91121,
"CAN","INDPROD","TOT","IDX2015","A","1982",51.48325,
"CAN","INDPROD","TOT","IDX2015","A","1983",54.18899,
"CAN","INDPROD","TOT","IDX2015","A","1984",61.00596,
"CAN","INDPROD","TOT","IDX2015","A","1985",64.27371,
"CAN","INDPROD","TOT","IDX2015","A","1986",63.86301,
"CAN","INDPROD","TOT","IDX2015","A","1987",66.66508,
"CAN","INDPROD","TOT","IDX2015","A","1988",70.7359,
"CAN","INDPROD","TOT","IDX2015","A","1989",70.42059,
"CAN","INDPROD","TOT","IDX2015","A","1990",68.45214,
"CAN","INDPROD","TOT","IDX2015","A","1991",65.83945,
"CAN","INDPROD","TOT","IDX2015","A","1992",66.54071,
"CAN","INDPROD","TOT","IDX2015","A","1993",69.55181,
"CAN","INDPROD","TOT","IDX2015","A","1994",74.03701,
"CAN","INDPROD","TOT","IDX2015","A","1995",77.39639,
"CAN","INDPROD","TOT","IDX2015","A","1996",78.31631,
"CAN","INDPROD","TOT","IDX2015","A","1997",82.73647,
"CAN","INDPROD","TOT","IDX2015","A","1998",85.41064,
"CAN","INDPROD","TOT","IDX2015","A","1999",90.46307,
"CAN","INDPROD","TOT","IDX2015","A","2000",96.83224,
"CAN","INDPROD","TOT","IDX2015","A","2001",93.7872,
"CAN","INDPROD","TOT","IDX2015","A","2002",95.56929,
"CAN","INDPROD","TOT","IDX2015","A","2003",95.65697,
"CAN","INDPROD","TOT","IDX2015","A","2004",97.75493,
"CAN","INDPROD","TOT","IDX2015","A","2005",99.97868,
"CAN","INDPROD","TOT","IDX2015","A","2006",99.77518,
"CAN","INDPROD","TOT","IDX2015","A","2007",98.354,
"CAN","INDPROD","TOT","IDX2015","A","2008",95.09732,
"CAN","INDPROD","TOT","IDX2015","A","2009",84.85164,
"CAN","INDPROD","TOT","IDX2015","A","2010",89.93976,
"CAN","INDPROD","TOT","IDX2015","A","2011",94.22417,
"CAN","INDPROD","TOT","IDX2015","A","2012",94.09346,
"CAN","INDPROD","TOT","IDX2015","A","2013",95.71469,
"CAN","INDPROD","TOT","IDX2015","A","2014",100.4259,
"CAN","INDPROD","TOT","IDX2015","A","2015",100,
"CAN","INDPROD","TOT","IDX2015","A","2016",100.0519,
"CAN","INDPROD","TOT","IDX2015","A","2017",104.865,
"CAN","INDPROD","TOT","IDX2015","A","2018",108.935,
"CAN","INDPROD","TOT","IDX2015","A","2019",108.7389,
"CAN","INDPROD","TOT","IDX2015","A","2020",100.1988,
"CAN","INDPROD","TOT","IDX2015","A","2021",104.7487,
"CAN","INDPROD","TOT","IDX2015","A","2022",108.5864,
"FRA","INDPROD","TOT","IDX2015","A","1955",26.21322,
"FRA","INDPROD","TOT","IDX2015","A","1956",28.61017,
"FRA","INDPROD","TOT","IDX2015","A","1957",30.95513,
"FRA","INDPROD","TOT","IDX2015","A","1958",32.33966,
"FRA","INDPROD","TOT","IDX2015","A","1959",32.78568,
"FRA","INDPROD","TOT","IDX2015","A","1960",35.7545,
"FRA","INDPROD","TOT","IDX2015","A","1961",37.76564,
"FRA","INDPROD","TOT","IDX2015","A","1962",40.26109,
"FRA","INDPROD","TOT","IDX2015","A","1963",42.09438,
"FRA","INDPROD","TOT","IDX2015","A","1964",44.83484,
"FRA","INDPROD","TOT","IDX2015","A","1965",45.62575,
"FRA","INDPROD","TOT","IDX2015","A","1966",48.30073,
"FRA","INDPROD","TOT","IDX2015","A","1967",49.42915,
"FRA","INDPROD","TOT","IDX2015","A","1968",51.2024,
"FRA","INDPROD","TOT","IDX2015","A","1969",57.20724,
"FRA","INDPROD","TOT","IDX2015","A","1970",60.42628,
"FRA","INDPROD","TOT","IDX2015","A","1971",63.27758,
"FRA","INDPROD","TOT","IDX2015","A","1972",67.80136,
"FRA","INDPROD","TOT","IDX2015","A","1973",72.92463,
"FRA","INDPROD","TOT","IDX2015","A","1974",74.65757,
"FRA","INDPROD","TOT","IDX2015","A","1975",68.21949,
"FRA","INDPROD","TOT","IDX2015","A","1976",74.57193,
"FRA","INDPROD","TOT","IDX2015","A","1977",75.93209,
"FRA","INDPROD","TOT","IDX2015","A","1978",77.63984,
"FRA","INDPROD","TOT","IDX2015","A","1979",80.98483,
"FRA","INDPROD","TOT","IDX2015","A","1980",80.1451,
"FRA","INDPROD","TOT","IDX2015","A","1981",79.30529,
"FRA","INDPROD","TOT","IDX2015","A","1982",78.66703,
"FRA","INDPROD","TOT","IDX2015","A","1983",78.72078,
"FRA","INDPROD","TOT","IDX2015","A","1984",80.07792,
"FRA","INDPROD","TOT","IDX2015","A","1985",80.27468,
"FRA","INDPROD","TOT","IDX2015","A","1986",82.3127,
"FRA","INDPROD","TOT","IDX2015","A","1987",83.75085,
"FRA","INDPROD","TOT","IDX2015","A","1988",86.7348,
"FRA","INDPROD","TOT","IDX2015","A","1989",89.74184,
"FRA","INDPROD","TOT","IDX2015","A","1990",91.04924,
"FRA","INDPROD","TOT","IDX2015","A","1991",90.97008,
"FRA","INDPROD","TOT","IDX2015","A","1992",90.23425,
"FRA","INDPROD","TOT","IDX2015","A","1993",86.86678,
"FRA","INDPROD","TOT","IDX2015","A","1994",90.04925,
"FRA","INDPROD","TOT","IDX2015","A","1995",92.71506,
"FRA","INDPROD","TOT","IDX2015","A","1996",93.47589,
"FRA","INDPROD","TOT","IDX2015","A","1997",97.56085,
"FRA","INDPROD","TOT","IDX2015","A","1998",101.6125,
"FRA","INDPROD","TOT","IDX2015","A","1999",104.3158,
"FRA","INDPROD","TOT","IDX2015","A","2000",108.6191,
"FRA","INDPROD","TOT","IDX2015","A","2001",109.9066,
"FRA","INDPROD","TOT","IDX2015","A","2002",108.6449,
"FRA","INDPROD","TOT","IDX2015","A","2003",107.7124,
"FRA","INDPROD","TOT","IDX2015","A","2004",110.1474,
"FRA","INDPROD","TOT","IDX2015","A","2005",110.0374,
"FRA","INDPROD","TOT","IDX2015","A","2006",110.7941,
"FRA","INDPROD","TOT","IDX2015","A","2007",112.0016,
"FRA","INDPROD","TOT","IDX2015","A","2008",109.0424,
"FRA","INDPROD","TOT","IDX2015","A","2009",95.39254,
"FRA","INDPROD","TOT","IDX2015","A","2010",99.9375,
"FRA","INDPROD","TOT","IDX2015","A","2011",102.3825,
"FRA","INDPROD","TOT","IDX2015","A","2012",99.80334,
"FRA","INDPROD","TOT","IDX2015","A","2013",99.49084,
"FRA","INDPROD","TOT","IDX2015","A","2014",98.37334,
"FRA","INDPROD","TOT","IDX2015","A","2015",100,
"FRA","INDPROD","TOT","IDX2015","A","2016",100.4767,
"FRA","INDPROD","TOT","IDX2015","A","2017",102.45,
"FRA","INDPROD","TOT","IDX2015","A","2018",103.2508,
"FRA","INDPROD","TOT","IDX2015","A","2019",103.6808,
"FRA","INDPROD","TOT","IDX2015","A","2020",92.92506,
"FRA","INDPROD","TOT","IDX2015","A","2021",98.48668,
"FRA","INDPROD","TOT","IDX2015","A","2022",98.13419,
"DEU","INDPROD","TOT","IDX2015","A","1958",23.70022,
"DEU","INDPROD","TOT","IDX2015","A","1959",25.39664,
"DEU","INDPROD","TOT","IDX2015","A","1960",28.35035,
"DEU","INDPROD","TOT","IDX2015","A","1961",30.13825,
"DEU","INDPROD","TOT","IDX2015","A","1962",31.406,
"DEU","INDPROD","TOT","IDX2015","A","1963",32.46724,
"DEU","INDPROD","TOT","IDX2015","A","1964",35.15171,
"DEU","INDPROD","TOT","IDX2015","A","1965",37.09122,
"DEU","INDPROD","TOT","IDX2015","A","1966",37.70288,
"DEU","INDPROD","TOT","IDX2015","A","1967",36.8978,
"DEU","INDPROD","TOT","IDX2015","A","1968",41.4303,
"DEU","INDPROD","TOT","IDX2015","A","1969",46.8463,
"DEU","INDPROD","TOT","IDX2015","A","1970",49.65363,
"DEU","INDPROD","TOT","IDX2015","A","1971",50.09268,
"DEU","INDPROD","TOT","IDX2015","A","1972",51.93941,
"DEU","INDPROD","TOT","IDX2015","A","1973",55.27983,
"DEU","INDPROD","TOT","IDX2015","A","1974",54.32025,
"DEU","INDPROD","TOT","IDX2015","A","1975",50.94815,
"DEU","INDPROD","TOT","IDX2015","A","1976",54.37909,
"DEU","INDPROD","TOT","IDX2015","A","1977",55.79583,
"DEU","INDPROD","TOT","IDX2015","A","1978",56.77804,
"DEU","INDPROD","TOT","IDX2015","A","1979",59.63714,
"DEU","INDPROD","TOT","IDX2015","A","1980",59.63203,
"DEU","INDPROD","TOT","IDX2015","A","1981",58.5426,
"DEU","INDPROD","TOT","IDX2015","A","1982",56.63994,
"DEU","INDPROD","TOT","IDX2015","A","1983",57.01843,
"DEU","INDPROD","TOT","IDX2015","A","1984",58.74207,
"DEU","INDPROD","TOT","IDX2015","A","1985",61.56026,
"DEU","INDPROD","TOT","IDX2015","A","1986",62.69061,
"DEU","INDPROD","TOT","IDX2015","A","1987",62.931,
"DEU","INDPROD","TOT","IDX2015","A","1988",65.1968,
"DEU","INDPROD","TOT","IDX2015","A","1989",68.40881,
"DEU","INDPROD","TOT","IDX2015","A","1990",71.94817,
"DEU","INDPROD","TOT","IDX2015","A","1991",74.0145,
"DEU","INDPROD","TOT","IDX2015","A","1992",72.99775,
"DEU","INDPROD","TOT","IDX2015","A","1993",67.08059,
"DEU","INDPROD","TOT","IDX2015","A","1994",69.1891,
"DEU","INDPROD","TOT","IDX2015","A","1995",69.79749,
"DEU","INDPROD","TOT","IDX2015","A","1996",69.39745,
"DEU","INDPROD","TOT","IDX2015","A","1997",71.77264,
"DEU","INDPROD","TOT","IDX2015","A","1998",75.02292,
"DEU","INDPROD","TOT","IDX2015","A","1999",76.17301,
"DEU","INDPROD","TOT","IDX2015","A","2000",80.4067,
"DEU","INDPROD","TOT","IDX2015","A","2001",80.46504,
"DEU","INDPROD","TOT","IDX2015","A","2002",79.47329,
"DEU","INDPROD","TOT","IDX2015","A","2003",79.68997,
"DEU","INDPROD","TOT","IDX2015","A","2004",83.15693,
"DEU","INDPROD","TOT","IDX2015","A","2005",85.93216,
"DEU","INDPROD","TOT","IDX2015","A","2006",90.87424,
"DEU","INDPROD","TOT","IDX2015","A","2007",96.86641,
"DEU","INDPROD","TOT","IDX2015","A","2008",97.74148,
"DEU","INDPROD","TOT","IDX2015","A","2009",80.78173,
"DEU","INDPROD","TOT","IDX2015","A","2010",90.45753,
"DEU","INDPROD","TOT","IDX2015","A","2011",98.15818,
"DEU","INDPROD","TOT","IDX2015","A","2012",97.06642,
"DEU","INDPROD","TOT","IDX2015","A","2013",97.04142,
"DEU","INDPROD","TOT","IDX2015","A","2014",98.96658,
"DEU","INDPROD","TOT","IDX2015","A","2015",100,
"DEU","INDPROD","TOT","IDX2015","A","2016",101.1334,
"DEU","INDPROD","TOT","IDX2015","A","2017",103.842,
"DEU","INDPROD","TOT","IDX2015","A","2018",105.0504,
"DEU","INDPROD","TOT","IDX2015","A","2019",101.7585,
"DEU","INDPROD","TOT","IDX2015","A","2020",92.69106,
"DEU","INDPROD","TOT","IDX2015","A","2021",97.1831,
"DEU","INDPROD","TOT","IDX2015","A","2022",96.78307,
"ITA","INDPROD","TOT","IDX2015","A","1955",22.60931,
"ITA","INDPROD","TOT","IDX2015","A","1956",24.37762,
"ITA","INDPROD","TOT","IDX2015","A","1957",26.2616,
"ITA","INDPROD","TOT","IDX2015","A","1958",27.08713,
"ITA","INDPROD","TOT","IDX2015","A","1959",30.03589,
"ITA","INDPROD","TOT","IDX2015","A","1960",34.68483,
"ITA","INDPROD","TOT","IDX2015","A","1961",38.45596,
"ITA","INDPROD","TOT","IDX2015","A","1962",42.15578,
"ITA","INDPROD","TOT","IDX2015","A","1963",45.87936,
"ITA","INDPROD","TOT","IDX2015","A","1964",46.37215,
"ITA","INDPROD","TOT","IDX2015","A","1965",48.51915,
"ITA","INDPROD","TOT","IDX2015","A","1966",54.1901,
"ITA","INDPROD","TOT","IDX2015","A","1967",58.37038,
"ITA","INDPROD","TOT","IDX2015","A","1968",61.81129,
"ITA","INDPROD","TOT","IDX2015","A","1969",63.99527,
"ITA","INDPROD","TOT","IDX2015","A","1970",68.23812,
"ITA","INDPROD","TOT","IDX2015","A","1971",68.16447,
"ITA","INDPROD","TOT","IDX2015","A","1972",71.15018,
"ITA","INDPROD","TOT","IDX2015","A","1973",78.07125,
"ITA","INDPROD","TOT","IDX2015","A","1974",81.56397,
"ITA","INDPROD","TOT","IDX2015","A","1975",74.07956,
"ITA","INDPROD","TOT","IDX2015","A","1976",83.2701,
"ITA","INDPROD","TOT","IDX2015","A","1977",84.17145,
"ITA","INDPROD","TOT","IDX2015","A","1978",85.77295,
"ITA","INDPROD","TOT","IDX2015","A","1979",91.4949,
"ITA","INDPROD","TOT","IDX2015","A","1980",96.55569,
"ITA","INDPROD","TOT","IDX2015","A","1981",95.04131,
"ITA","INDPROD","TOT","IDX2015","A","1982",91.86407,
"ITA","INDPROD","TOT","IDX2015","A","1983",89.54264,
"ITA","INDPROD","TOT","IDX2015","A","1984",92.45428,
"ITA","INDPROD","TOT","IDX2015","A","1985",93.77238,
"ITA","INDPROD","TOT","IDX2015","A","1986",97.57915,
"ITA","INDPROD","TOT","IDX2015","A","1987",100.5203,
"ITA","INDPROD","TOT","IDX2015","A","1988",106.8747,
"ITA","INDPROD","TOT","IDX2015","A","1989",110.7504,
"ITA","INDPROD","TOT","IDX2015","A","1990",110.5241,
"ITA","INDPROD","TOT","IDX2015","A","1991",109.4659,
"ITA","INDPROD","TOT","IDX2015","A","1992",108.316,
"ITA","INDPROD","TOT","IDX2015","A","1993",105.6579,
"ITA","INDPROD","TOT","IDX2015","A","1994",112.099,
"ITA","INDPROD","TOT","IDX2015","A","1995",118.7484,
"ITA","INDPROD","TOT","IDX2015","A","1996",116.7569,
"ITA","INDPROD","TOT","IDX2015","A","1997",121.2732,
"ITA","INDPROD","TOT","IDX2015","A","1998",122.7814,
"ITA","INDPROD","TOT","IDX2015","A","1999",122.4731,
"ITA","INDPROD","TOT","IDX2015","A","2000",127.6644,
"ITA","INDPROD","TOT","IDX2015","A","2001",125.3646,
"ITA","INDPROD","TOT","IDX2015","A","2002",123.4897,
"ITA","INDPROD","TOT","IDX2015","A","2003",122.7064,
"ITA","INDPROD","TOT","IDX2015","A","2004",122.4815,
"ITA","INDPROD","TOT","IDX2015","A","2005",121.7149,
"ITA","INDPROD","TOT","IDX2015","A","2006",126.1312,
"ITA","INDPROD","TOT","IDX2015","A","2007",129.0642,
"ITA","INDPROD","TOT","IDX2015","A","2008",123.748,
"ITA","INDPROD","TOT","IDX2015","A","2009",100.7499,
"ITA","INDPROD","TOT","IDX2015","A","2010",107.791,
"ITA","INDPROD","TOT","IDX2015","A","2011",108.6409,
"ITA","INDPROD","TOT","IDX2015","A","2012",102.3998,
"ITA","INDPROD","TOT","IDX2015","A","2013",99.25839,
"ITA","INDPROD","TOT","IDX2015","A","2014",98.62511,
"ITA","INDPROD","TOT","IDX2015","A","2015",99.64169,
"ITA","INDPROD","TOT","IDX2015","A","2016",101.6915,
"ITA","INDPROD","TOT","IDX2015","A","2017",105.4829,
"ITA","INDPROD","TOT","IDX2015","A","2018",106.3911,
"ITA","INDPROD","TOT","IDX2015","A","2019",105.1579,
